sample,A07,A11,A15,A19,A25,A27,A34,A36,A38,B01,B07,B10,B12,C05,C07,C08,C10,C11,D03,D05,D09,D12,D19,E03,E10,F01,F03,F05,F07,G01,G03,G09,G14,G16,G19,G20,G24,G28,G30,G32,G34,G36,G38,G42,G46,H02,H07,I01,I05,I07,I10,I15,I16,I18,K03,K05,K07,K09,K12,K14,K22,K23,K26,K31,K32,K34,K36,K40,K44,M05,M07,M1,M11,M15,M17,M23,M26,M3,P01,P09,P11,P13,P16,P18,P22,P26,P3,P30,X01,X03,X05,Y01,Y03,Y05,Y06,Y08,Y12,Y14,Y16,Y20,Z01,Z03,Z05,Z09,Z11,Z13,Z15,Z17,A39,C09,E_A40,E_A43,E_A44,E_A46,E_A47,E_A48,E_A50,E_A51,E_A53,E_A54,E_A55,E_A56,E_A57,E_A58,E_A59,E_A60,E_A61,E_A63,E_A68,E_A70,E_A71,E_A72,E_A74,E_A76,E_B01,E_B02,E_B03,E_B04,E_B05,E_B06,E_B07,E_B08,E_B09,E_B10,E_B11,E_B13,E_B14,E_B15,E_B16,E_B17,E_B20,E_B21,E_B26,E_B28,E_M01,E_M02,E_M03,E_M09,E_M10,E_M12,E_M13,E_M17,E_M19,E_M22,E_M24,E_M25,E_M27,E_M30,E_M31,E_M32,E_M33,E_M34,EB22,K16,M12,P31,A02,A08,A12,A20,A22,A24,A26,A28,A33,A37,B02,B06,B08,B13,B15,B17,B23,C02,C04,C12,C14,D02,D04,D06,D08,D10,D13,D18,D20,E04,E06,E07,E11,E14,E16,F02,F04,F06,F08,F10,G15,G22,G27,G29,G33,G35,G39,G45,G49,H03,H05,I02,I04,I06,I08,I09,I11,I14,I17,I19,K02,K04,K06,K08,K11,K15,K18,K20,K24,K27,K37,K41,K43,K45,K47,M06,M08,M10,M14,M18,M2,M20,M22,M24,M25,P02,P04,P06,P10,P15,P17,P21,P23,P27,P29,X02,X04,X06,X08,X10,Y02,Y04,Y07,Y09,Y11,Y15,Y17,Y19,Y21,Z06,Z10,Z12,Z18,Z7,G47,M16,M4,Y_A02,Y_A03,Y_A06,Y_A07,Y_A09,Y_A10,Y_A11,Y_A12,Y_A13,Y_A14,Y_A15,Y_A16,Y_A19,Y_A20,Y_A23,Y_A25,Y_A26,Y_A27,Y_A29,Y_A30,Y_A31,Y_A32,Y_A33,Y_A34,Y_B30,Y_B31,Y_B32,Y_B34,Y_B35,Y_B36,Y_B37,Y_B38,Y_B39,Y_B40,Y_B41,Y_B42,Y_B43,Y_B44,Y_B45,Y_B46,Y_B47,Y_B48,Y_B50,Y_B52,Y_B53,Y_B54,Y_B55,Y_B56,Y_B57,Y_B58,Y_B59,Y13,Z14,Z4
g__Achromobacter,379,397,305,336,2,112,49,4,4,13,93,0,11,18,7,13,3,5,31,20,15,2,75,2,492,145,24,233,0,27,16,23,136,118,3,45,21,63,88,33,9,34,160,17,7,386,97,156,0,65,5,4,4,724,14,37,53,14,188,172,23,21,4,8,7,20,482,146,59,26,2,166,3,2,527,21,253,3,2,4,242,12,45,0,3,4,30,9,82,90,72,27,134,8,8,3,6,26,27,74,37,137,93,133,255,108,116,5,15,9,0,1,2,0,0,0,0,3,3,4,1,1,0,0,1,0,1,0,0,0,0,1,15,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,10,0,1,1,50,3,0,1,0,24,3,2,0,0,2,0,1,8,73,7,437,549,382,11,4,33,41,34,48,2,7,29,12,48,62,4,7,2,42,8,1,3,28,48,6,60,5,9,53,58,342,11,0,23,57,5,2,13,45,25,85,28,34,81,16,13,29,7,45,68,6,2,0,4,74,2,2,5,1,0,30,295,23,283,237,96,38,18,0,3,3,197,279,1,30,200,77,111,353,5,16,1,3,9,78,1,16,1,13,9,15,2,16,1,10,6,5,9,9,12,3,8,1,6,74,25,55,69,5,82,32,27,4,45,22,5,52,0,1,3,1,0,0,0,0,1,0,0,3,0,0,0,7,0,0,1,0,0,0,0,0,2,2,28,2,0,0,0,0,0,3,0,0,0,0,6,0,1,11,0,0,1,0,0,3,0,1,7,15,30,12
g__Enhydrobacter,106,36,151,6,3,68,17,0,5,10,37,1,4,10,2,0,0,0,2,6,0,1,20,0,31,89,14,85,0,1,3,23,26,2,0,1,2,10,0,7,1,3,11,1,0,17,7,5,0,0,0,0,0,7,1,1,3,0,1,1,0,1,0,0,0,4,13,7,4,0,0,4,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,2,4,4,0,2,0,1,0,0,0,1,3,5,1,3,7,2,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,29,8,6,5,1,0,5,4,0,9,5,11,17,124,2,7,0,4,2,0,0,1,7,1,9,0,1,0,2,33,0,0,5,9,2,0,0,3,3,4,2,0,10,0,1,1,0,15,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,8,21,0,2,0,2,1,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,3
g__Eubacterium_nodatum_group,1,0,0,0,1,0,0,3,3,1,0,1,10,4,8,0,0,1,1,0,4,8,0,3,0,2,0,0,0,14,0,0,2,2,2,2,0,5,5,1,0,0,0,0,1,0,1,0,1,0,0,3,0,0,1,0,4,6,1,0,1,1,2,2,0,0,0,0,2,1,0,3,0,22,2,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,4,4,1,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,3,0,1,8,1,2,8,1,0,5,2,0,2,0,0,0,0,0,0,1,12,0,0,0,0,3,0,4,2,4,5,2,11,0,1,6,3,29,3,2,1,11,14,3,11,2,0,4,1,3,0,3,0,0,0,2,0,12,5,1,2,1,1,0,6,4,0,4,0,0,0,1,0,0,3,0,3,12,4,3,9,0,1,0,1,6,0,1,1,0,6,2,6,1,1,0,1,3,2,0,1,9,1,4,19,0,1,3,0,3,25,0,7,5,8,2,0,3,7,15,2,4,4,0,4,40,18,8,3,9,1,1,1,0,3,1,0,3,5,0,6,20,0,4,0,1,0,7,5,24,5,2,4,4,4,8,1,1,6,3,11,10,8,0,2,6,2,6,9,7,13,3,2,14,3,0,2,0,6,5,0,2,7,1,5,4,0,0,4,0,3,0,1,0,0,0,3,4,0,0,1,5,3,0,0,2,5,0,1,1,2,3,6,1,9,1,2,2,14,11,5,12,1,2,11,0,0,3,5,1,0,0,2,0,11,0,2,5,3
g__Filifactor,0,0,7,0,1,1,0,0,0,0,0,2,4,12,52,0,0,0,0,0,19,1,0,13,0,2,0,0,0,3,0,0,4,0,8,4,0,20,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,9,41,12,0,1,0,16,0,4,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,1,0,4,0,5,6,0,3,4,1,0,4,0,0,1,0,0,0,0,1,0,16,16,1,0,0,1,1,6,7,6,5,24,6,15,0,1,3,3,81,3,4,6,8,21,3,1,0,1,3,1,0,5,6,5,12,8,1,0,18,8,4,0,0,0,0,10,7,3,2,0,0,0,0,1,0,16,7,25,0,3,6,6,3,10,0,3,0,0,0,0,0,9,3,0,3,1,6,1,4,0,21,1,25,1,4,40,1,7,7,1,7,6,2,16,1,11,10,0,1,2,6,1,3,0,0,28,37,0,0,0,10,4,0,4,0,3,1,1,0,2,1,1,27,0,0,8,12,0,1,6,83,2,13,0,5,9,3,8,3,1,15,16,1,17,0,8,43,16,0,0,2,2,7,3,42,61,0,3,6,1,6,2,17,9,0,0,1,0,2,5,0,0,3,5,1,0,1,0,0,1,0,9,2,1,0,0,0,2,1,0,0,1,14,6,0,0,0,11,3,24,16,3,0,2,11,86,0,0,0,0,0,1,0,0,1,7,0,15,8,4
g__Haemophilus,3,1,2,0,19,44,0,6,6,7,6,2,0,4,7,0,3,6,15,0,1,5,0,22,0,51,5,1,0,0,12,0,0,0,1,0,37,2,7,1,5,13,0,4,0,3,0,2,11,0,2,47,0,1,2,21,9,1,4,8,1,20,18,26,2,22,0,0,0,3,0,11,13,13,1,52,9,4,76,1,0,21,3,0,1,10,47,0,0,0,3,18,108,10,22,25,2,1,9,7,6,13,0,0,11,0,13,34,1,6,23,18,52,0,31,63,0,56,60,147,80,3,54,7,66,14,3,65,10,12,15,33,35,23,15,151,20,15,8,11,0,14,21,19,9,4,5,12,8,25,0,47,7,5,46,41,42,0,34,18,18,40,10,65,0,32,43,169,22,44,0,22,14,37,24,1,0,0,2,1,16,0,7,22,1,9,5,5,6,7,0,1,81,4,0,19,38,13,6,0,12,22,11,48,22,0,0,13,1,12,16,1,0,0,1,2,11,0,2,12,12,2,1,5,10,1,160,4,157,2,4,9,29,4,22,5,5,8,14,0,5,0,0,20,91,4,3,1,2,6,0,8,5,2,12,14,20,2,2,24,2,1,4,0,2,4,46,29,12,148,0,19,2,4,24,12,11,3,17,16,1,22,5,6,33,32,0,9,195,0,4,6,3,12,101,23,4,62,34,33,11,42,30,53,41,20,47,197,20,59,48,78,9,19,54,37,74,115,6,2,1,4,4,6,2,4,15,0,8,0,12,7,4,55,54,138,25,43,8,39,24,29,10,18,15,10,7
g__Lautropia,0,0,0,0,0,2,0,6,1,0,0,0,1,0,7,0,0,6,22,0,39,0,1,0,14,2,26,1,0,0,0,0,3,2,281,0,235,15,9,0,4,0,0,5,2,0,16,4,12,6,0,4,0,0,2,321,18,34,4,1,3,13,11,2,0,1,0,0,7,0,0,0,2,2,1,0,0,1,20,2,0,0,0,1,2,0,0,0,0,0,1,3,0,11,0,0,14,0,0,1,14,1,4,6,1,2,0,5,1,1,10,1,0,1,0,2,9,0,6,83,2,6,17,0,9,1,11,3,2,1,4,15,10,9,15,1,10,4,14,52,4,12,7,1,3,1,0,1,1,0,0,1,3,6,2,7,0,1,1,4,10,23,3,8,1,4,6,4,0,3,0,8,4,0,3,10,0,0,0,0,5,0,0,41,1,0,0,0,0,33,0,0,0,0,0,4,12,0,1,0,0,11,0,22,5,0,0,2,0,42,1,1,80,3,13,0,21,33,6,97,9,1,1,0,4,3,11,3,2,4,3,43,22,12,1,0,0,20,25,7,7,1,7,1,1,8,0,1,2,1,2,5,2,0,0,0,51,1,5,4,16,13,5,0,17,7,12,8,14,3,5,0,1,7,6,12,0,4,2,5,8,32,3,49,3,23,10,23,2,42,2,8,10,10,2,6,0,0,0,2,1,6,4,4,1,5,0,0,2,1,2,13,1,3,5,6,3,39,6,3,5,12,3,2,0,0,8,0,2,0,3,41,37,4,21,1,0,22,11,0,38,2,5,4,19,78,2
g__Neisseria,4,0,1,0,25,25,4,28,0,106,61,1,9,13,34,1,0,45,55,0,18,4,11,3,2,9,9,5,0,1,9,0,6,4,53,3,61,51,23,3,23,88,0,0,0,1,1,2,20,63,12,21,0,2,14,54,59,50,40,1,3,48,3,28,10,62,0,0,0,6,0,22,78,57,5,257,18,59,18,0,9,373,8,1,0,40,26,0,0,0,0,5,15,11,78,14,2,0,32,44,11,0,7,7,4,21,5,5,9,7,33,82,462,4,217,294,0,107,63,126,122,32,63,33,179,28,7,81,51,55,30,88,125,153,149,61,222,20,31,211,20,134,45,50,162,14,44,33,33,21,13,4,32,154,220,254,134,0,334,61,72,224,53,325,0,16,43,79,384,141,1,76,40,37,5,9,0,0,0,5,51,0,21,104,21,16,10,0,12,51,0,0,14,7,5,88,207,6,12,4,4,121,21,132,129,2,3,16,3,128,128,0,83,5,15,2,84,69,13,127,34,3,9,22,0,1,13,8,96,0,1,71,233,23,22,2,11,50,172,1,16,4,0,1,12,13,4,2,10,49,9,12,35,9,6,11,60,26,9,115,2,56,18,2,6,20,52,50,70,164,15,0,29,7,52,9,6,7,30,42,16,73,15,142,79,59,28,91,74,49,43,29,25,99,20,180,0,319,28,74,19,132,255,445,7,23,7,87,153,4,86,122,90,156,42,38,67,88,7,9,5,13,11,90,1,18,44,2,46,1,27,31,17,103,151,3,8,57,5,690,84,44,5,10,126,25,29
g__Peptostreptococcus,0,0,2,0,2,5,0,1,9,0,2,6,18,5,11,1,0,0,0,0,13,20,0,7,1,0,1,0,0,4,13,1,15,2,0,10,1,6,5,5,2,0,0,1,0,2,4,8,1,0,0,1,0,2,0,0,3,24,1,0,0,17,5,22,2,0,0,0,5,0,0,0,0,9,2,3,0,1,0,0,0,2,3,0,6,0,4,0,0,0,34,2,0,0,0,5,0,0,0,2,0,1,0,1,0,0,2,1,12,1,14,8,0,14,7,7,0,8,8,0,2,2,9,1,1,1,0,0,6,1,1,1,1,4,9,21,3,23,29,0,3,2,1,8,10,15,12,4,1,35,5,9,19,10,5,13,6,15,0,2,2,5,7,0,0,20,7,37,1,5,2,3,20,19,2,11,3,0,0,1,1,0,2,6,10,4,38,5,41,1,17,3,12,76,1,2,2,8,2,35,15,7,4,1,2,2,1,5,10,7,3,65,7,0,5,9,0,13,23,0,24,5,10,9,0,15,3,8,6,1,2,2,14,89,14,7,8,2,6,3,3,5,17,8,0,1,28,1,2,13,0,13,5,0,0,2,7,2,3,2,9,13,2,16,13,14,5,6,15,27,15,0,36,25,9,16,68,13,21,1,2,10,5,1,5,7,9,3,2,0,9,3,9,1,8,4,22,0,5,0,14,6,6,2,0,8,7,3,3,7,8,1,0,6,12,1,2,5,2,16,26,3,9,5,23,21,9,15,10,55,18,6,11,2,2,2,57,5,0,14,1,10,5,4,2,0,3
g__Porphyromonas,0,0,2,5,63,29,1,0,13,6,4,25,19,36,78,11,2,46,37,2,40,50,3,41,5,24,4,17,7,48,115,0,95,21,41,68,16,43,23,79,48,0,13,81,3,4,30,7,13,7,0,78,1,1,9,36,32,135,5,10,13,92,26,195,21,46,0,0,13,2,0,18,0,19,11,51,7,27,14,1,1,24,13,0,230,3,81,0,0,0,36,29,42,8,12,126,3,0,34,4,5,0,1,16,10,4,49,36,20,9,62,101,23,24,37,182,0,72,117,113,125,4,105,8,81,147,16,201,8,15,28,10,29,5,85,90,64,86,37,32,21,71,48,96,22,206,24,71,45,290,26,128,20,41,217,59,48,1,31,40,8,21,197,41,1,74,47,129,18,68,5,157,25,148,49,38,0,6,4,22,45,1,116,44,72,2,101,83,28,9,70,16,81,25,9,1,30,58,22,70,27,18,55,56,32,44,6,48,37,52,12,128,95,32,14,31,19,24,115,20,43,55,48,20,5,38,13,91,84,12,24,5,19,57,97,57,37,19,58,2,16,25,15,39,5,32,266,8,11,41,7,29,31,9,1,7,44,62,65,8,11,34,33,5,48,41,93,30,51,109,103,0,73,26,66,52,23,168,137,23,34,74,73,16,39,40,28,24,117,24,78,10,33,84,288,21,37,37,61,34,26,22,74,174,3,29,103,169,45,41,30,15,4,68,152,28,26,33,11,63,47,49,97,32,78,123,57,72,17,159,101,145,96,87,6,352,173,12,13,72,32,120,30,99,36,26,21
g__Sphingomonas,253,400,236,18,0,110,17,0,7,15,160,1,2,42,4,10,0,4,24,10,19,11,84,5,133,233,29,351,1,18,15,13,244,64,0,29,18,86,0,44,11,33,90,8,6,647,22,126,1,1,1,8,1,269,12,22,64,6,112,52,4,54,0,9,2,28,394,455,25,2,0,0,3,3,29,12,131,0,1,1,2,0,0,0,0,0,0,11,65,151,53,9,98,0,2,1,4,14,2,47,23,71,52,111,253,43,33,1,2,10,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,35,0,0,0,0,9,2,0,0,0,0,0,0,1,36,2,80,268,228,12,11,10,0,25,21,0,13,19,9,36,181,7,18,3,13,6,0,0,4,63,2,5,1,9,23,62,134,0,0,7,93,5,5,7,45,10,58,16,8,66,11,10,29,6,95,0,1,0,1,0,122,0,4,1,1,0,5,37,2,182,124,17,3,9,6,0,0,208,329,0,57,72,25,29,265,7,1,0,0,4,77,3,13,1,9,2,0,2,6,0,12,0,2,8,9,5,3,5,1,0,35,7,4,0,6,59,14,16,2,1,12,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,2,0,0
g__unclassified_o__Lactobacillales,1,0,2,0,23,2,0,0,15,0,20,9,0,7,1,1,0,0,26,1,5,3,0,10,0,0,15,0,0,0,83,0,1,0,0,0,14,0,3,2,3,0,4,3,0,0,0,0,4,0,5,7,0,0,0,0,10,0,0,3,0,5,1,2,0,6,0,0,1,2,0,26,29,3,1,0,3,0,6,0,0,0,0,0,0,1,85,0,0,0,1,3,91,0,0,4,0,4,0,3,1,2,0,0,1,0,5,10,0,6,3,0,0,4,5,3,0,16,15,31,21,14,4,2,7,36,2,7,8,32,6,6,23,77,15,2,2,5,1,1,1,16,1,12,0,0,0,2,10,5,0,0,3,9,12,9,6,0,2,7,28,13,0,8,3,2,4,27,0,9,1,1,0,18,8,0,0,0,0,0,1,0,4,1,0,5,9,0,1,2,0,6,22,4,0,0,0,2,3,7,6,4,18,6,16,9,0,0,7,11,0,0,0,3,0,2,1,1,13,0,2,5,0,0,0,2,1,3,7,1,2,0,0,4,4,5,1,2,10,1,0,9,2,41,1,3,7,0,3,1,0,2,2,3,0,0,1,0,2,2,2,0,0,1,1,5,0,1,2,0,0,0,8,20,2,2,0,1,1,1,0,11,10,3,13,4,10,4,4,0,3,10,6,18,2,1,14,0,2,11,17,27,6,0,0,1,10,0,4,7,8,23,0,0,10,59,6,0,4,2,3,4,1,0,6,3,2,0,4,2,1,0,3,19,8,24,2,5,0,7,5,4,0,42,2,1,3
